rust_function,file,line,signature,same_name_in_c,duplicate_leaf,tool_claimed_by,matcher_proposed_for
lodepng_convert_rgb,src/lodepng.rs,1419,"(r_out: Option<&mut u32>, g_out: Option<&mut u32>, b_out: Option<&mut u32>, r_in: u32, g_in: u32, b_in: u32, mode_out: Option<&LodePNGColorMode>, mode_in: Option<&LodePNGColorMode>) -> u32",yes,,lodepng_convert_rgb,lodepng_convert_rgb
readChunk_tRNS,src/lodepng.rs,1437,"(color: Option<&mut LodePNGColorMode>, data: Option<&[i8]>, chunk_length: usize) -> u32",yes,,readChunk_tRNS,lodepng_buffer_file
get_num_color_channels_stub,src/lodepng.rs,1461,(colortype: LodePNGColorType) -> u32,,,lodepng_get_bpp_lct,lodepng_chunk_length
generate_fixed_distance_tree,src/lodepng.rs,1493,(tree: Option<&mut HuffmanTree>) -> u32,,,huffmanDecodeSymbol,HuffmanTree_cleanup
huffman_decode_symbol,src/lodepng.rs,1499,"(reader: Option<&mut LodePNGBitReader>, codetree: Option<&HuffmanTree>) -> u32",,,,addChunk_sRGB
HuffmanTree_makeFromLengths2,src/lodepng.rs,1509,(tree: Option<&mut HuffmanTree>) -> u32,yes,,HuffmanTree_makeFromLengths2,lodepng_compress_settings_init
color_tree_has,src/lodepng.rs,1516,"(tree: Option<&mut ColorTree>, r: u8, g: u8, b: u8, a: u8) -> i32",yes,,color_tree_add,color_tree_has
color_tree_add,src/lodepng.rs,1529,"(tree: Option<&mut ColorTree>, r: u8, g: u8, b: u8, a: u8, index: u32) -> u32",yes,,,color_tree_add
color_tree_get,src/lodepng.rs,1539,"(tree: Option<&ColorTree>, r: u8, g: u8, b: u8, a: u8) -> i32",yes,,color_tree_has,lodepng_chunk_next
rgba8ToPixel,src/lodepng.rs,1547,"(out: Option<&mut i8>, i: usize, mode: Option<&LodePNGColorMode>, tree: Option<&ColorTree>, r: u8, g: u8, b: u8, a: u8) -> u32",yes,,rgba8ToPixel,lodepng_info_cleanup
bpmnode_create,src/lodepng.rs,1577,"(lists: Option<&'a mut crate::BPMLists>, weight: i32, index: u32, tail: Option<Box<BPMNode>>) -> Option<&'a BPMNode>",yes,,bpmnode_create,bpmnode_create
