INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1038 inline 8-bit counters): 1038 [0x56357849a4f0, 0x56357849a8fe), 
INFO: Loaded 1 PC tables (1038 PCs): 1038 [0x56357849a900,0x56357849e9e0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork545329.dir
#3335497: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60651 time: 3599s job: 60652 dft_time: 0
==221018== ERROR: libFuzzer: deadly signal
#3335501: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60652 time: 3599s job: 60653 dft_time: 0
==221075== ERROR: libFuzzer: deadly signal
#3335517: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60653 time: 3599s job: 60654 dft_time: 0
==221140== ERROR: libFuzzer: deadly signal
#3335521: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60654 time: 3599s job: 60655 dft_time: 0
==221201== ERROR: libFuzzer: deadly signal
#3335525: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60655 time: 3599s job: 60656 dft_time: 0
==221263== ERROR: libFuzzer: deadly signal
#3335759: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60656 time: 3599s job: 60657 dft_time: 0
==221329== ERROR: libFuzzer: deadly signal
#3335792: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60657 time: 3599s job: 60658 dft_time: 0
==221380== ERROR: libFuzzer: deadly signal
#3335825: cov: 113 ft: 116 corp: 6 exec/s: 0 oom/timeout/crash: 0/0/60658 time: 3599s job: 60659 dft_time: 0
==221437== ERROR: libFuzzer: deadly signal
