INFO: Running with entropic power schedule (0xFF, 100).
INFO: Seed: 42
INFO: Loaded 1 modules   (1805 inline 8-bit counters): 1805 [0x55f1c26eeed0, 0x55f1c26ef5dd), 
INFO: Loaded 1 PC tables (1805 PCs): 1805 [0x55f1c26ef5e0,0x55f1c26f66b0), 
INFO: -fork=1: fuzzing in separate process(s)
INFO: -fork=1: 0 seed inputs, starting to fuzz in /tmp/libFuzzerTemp.FuzzWithFork971776.dir
#615361: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53939 time: 3599s job: 53940 dft_time: 0
==646614== ERROR: libFuzzer: deadly signal
#615373: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53940 time: 3599s job: 53941 dft_time: 0
==646673== ERROR: libFuzzer: deadly signal
#615382: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53941 time: 3599s job: 53942 dft_time: 0
==646738== ERROR: libFuzzer: deadly signal
#615391: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53942 time: 3599s job: 53943 dft_time: 0
==646825== ERROR: libFuzzer: deadly signal
#615423: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53943 time: 3599s job: 53944 dft_time: 0
==646904== ERROR: libFuzzer: deadly signal
#615429: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53944 time: 3599s job: 53945 dft_time: 0
==646964== ERROR: libFuzzer: deadly signal
#615440: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53945 time: 3599s job: 53946 dft_time: 0
==647016== ERROR: libFuzzer: deadly signal
#615450: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53946 time: 3599s job: 53947 dft_time: 0
==647094== ERROR: libFuzzer: deadly signal
#615456: cov: 150 ft: 188 corp: 22 exec/s: 0 oom/timeout/crash: 0/0/53947 time: 3600s job: 53948 dft_time: 0
==647158== ERROR: libFuzzer: deadly signal
INFO: fuzzed for 3600 seconds, wrapping up soon
INFO: exiting: 77 time: 3600s
